Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
SP1,28/08/2004,Ath Madrid,Malaga,2,0,H,1,0,H,1.72,3.25,4.33,1.9,3.35,3.6,1.85,3.25,4.3,1.75,3.1,4.2,1.73,3.2,4.33,1.8,3.25,4.2,1.72,3.2,4.33
SP1,28/08/2004,Espanol,La Coruna,1,1,D,1,0,H,2.87,3.2,2.4,3.4,3.25,2,3,3.3,2.25,2.9,3,2.2,2.6,3.2,2.38,3,3.2,2.2,2.62,3.1,2.37
SP1,28/08/2004,Numancia,Betis,1,1,D,1,1,D,2.5,3.2,2.5,2.5,3.15,2.6,2.6,3.2,2.6,2.4,2.9,2.7,2.5,3.2,2.5,2.62,3.1,2.5,2.5,3.1,2.5
SP1,29/08/2004,Mallorca,Real Madrid,0,1,A,0,0,D,5,3.4,1.72,4.5,3.4,1.7,4.75,3.3,1.77,3.8,3.1,1.8,4.33,3.2,1.73,4.33,3.4,1.73,4.2,3.25,1.72
SP1,29/08/2004,Osasuna,Ath Bilbao,1,1,D,1,1,D,2.3,3.2,2.7,2.25,3.2,2.9,2.3,3.25,2.95,2.4,2.9,2.7,2.25,3.2,2.75,2.4,3.1,2.75,2.3,3.1,2.75
SP1,29/08/2004,Santander,Barcelona,0,2,A,0,0,D,5,3.4,1.72,4.5,3.4,1.7,4.75,3.4,1.75,3.8,3.1,1.8,4.5,3.25,1.67,4.33,3.4,1.73,3.8,3.25,1.8
SP1,29/08/2004,Sevilla,Albacete,1,0,H,0,0,D,1.66,3.4,4.5,1.7,3.4,4.5,1.72,3.4,5,1.75,3.2,4,1.62,3.25,5,1.67,3.4,4.75,1.6,3.4,4.8
SP1,29/08/2004,Sociedad,Levante,1,1,D,0,1,A,1.72,3.25,4.33,1.7,3.4,4.5,1.73,3.3,5,1.7,3.1,4.4,1.67,3.25,4.5,1.67,3.4,4.75,1.61,3.1,5.5
SP1,29/08/2004,Zaragoza,Getafe,3,1,H,1,1,D,1.72,3.25,4.33,1.85,3.25,4,1.8,3.35,4.5,1.75,3.1,4.2,1.62,3.25,5,1.73,3.4,4.33,1.72,3.2,4.33
SP1,30/08/2004,Valencia,Villarreal,2,1,H,2,0,H,1.61,3.4,5,1.45,3.75,7,1.63,3.3,6,1.55,3.5,4.8,1.53,3.5,5.5,1.53,3.6,6,,,
SP1,11/09/2004,Ath Bilbao,Valencia,2,2,D,2,0,H,2.7,3.2,2.3,2.7,3.15,2.4,2.8,3.2,2.43,2.5,3,2.5,2.6,3.2,2.375,2.8,3.1,2.37,2.5,3.1,2.5
SP1,11/09/2004,Barcelona,Sevilla,2,0,H,1,0,H,1.444,4,7.5,1.4,4,7.25,1.45,4,7.25,1.4,3.7,6.5,1.364,3.75,8,1.44,3.75,7,1.4,3.6,7.5
SP1,11/09/2004,Real Madrid,Numancia,1,0,H,1,0,H,1.2,6,13,1.2,5.5,11.5,1.2,5.9,13,1.2,5,10,1.2,5,11,1.2,5.5,12,1.2,5,11
SP1,12/09/2004,Albacete,Ath Madrid,0,2,A,0,0,D,2.75,3.2,2.5,2.4,3.15,2.7,2.65,3.3,2.53,2.5,3,2.5,2.5,3.2,2.5,2.62,3.1,2.5,2.5,3.1,2.5
SP1,12/09/2004,Betis,Espanol,1,4,A,0,2,A,2,3.25,3.25,1.9,3.25,3.7,2,3.25,3.7,1.9,3,3.6,1.833,3.2,3.75,1.9,3.25,3.75,1.9,3.2,3.5
SP1,12/09/2004,Getafe,Mallorca,1,2,A,0,1,A,2.375,3.2,2.625,2.2,3.2,3,2.35,3.2,2.95,2.4,2.9,2.7,2.4,2.875,2.75,2.5,3.2,2.6,2.37,3.1,2.62
SP1,12/09/2004,La Coruna,Osasuna,1,3,A,1,0,H,1.444,3.75,6.5,1.5,3.6,6.25,1.53,3.7,6.5,1.45,3.6,5.8,1.5,3.4,6,1.5,3.6,6.5,1.5,3.4,6
SP1,12/09/2004,Levante,Santander,3,1,H,0,1,A,2.1,3.2,3.1,2.1,3.2,3.2,2.1,3.25,3.4,2,3,3.3,2,3.2,3.2,2.2,3.1,3.1,2.1,3.1,3.1
SP1,12/09/2004,Malaga,Zaragoza,0,0,D,0,0,D,2.1,3.25,3,2.15,3.3,3,2.2,3.1,3.35,2,3,3.3,2.2,3.2,2.8,2.1,3.2,3.2,2.1,3.1,3.1
SP1,12/09/2004,Villarreal,Sociedad,0,0,D,0,0,D,1.727,3.25,4.333,1.8,3.25,4.2,1.8,3.35,4.5,1.85,3.1,3.6,1.8,3.25,3.75,1.75,3.3,4.5,1.83,3.3,3.6
SP1,18/09/2004,Espanol,Real Madrid,1,0,H,1,0,H,3.75,3.2,2,4,3.35,1.8,3.8,3.3,1.95,3.5,3.1,1.9,3.75,3.25,1.8,3.8,3.4,1.83,3.75,3.3,1.8
SP1,18/09/2004,Osasuna,Betis,3,2,H,0,1,A,2,3.25,3.25,2,3.25,3.4,2,3.25,3.7,1.85,3.1,3.6,1.83,3.2,3.75,2,3.1,3.6,1.9,3.2,3.5
SP1,18/09/2004,Valencia,Sociedad,3,1,H,1,0,H,1.44,3.75,6.5,1.45,3.8,6.7,1.5,3.75,6.75,1.5,3.7,5,1.44,3.6,6.5,1.5,3.6,6.5,1.44,3.6,6.5
SP1,19/09/2004,Ath Bilbao,La Coruna,1,2,A,0,0,D,2.3,3.2,2.7,2.4,3.15,2.7,2.4,3.25,2.8,2.2,3,2.9,2.1,3.2,3,2.4,3.1,2.75,2.3,3,2.8
SP1,19/09/2004,Ath Madrid,Barcelona,1,1,D,0,1,A,2.75,3.25,2.25,2.8,3.2,2.3,3.1,3.25,2.2,2.9,3,2.2,3,3.2,2.1,3,3.2,2.2,2.8,3.1,2.25
SP1,19/09/2004,Mallorca,Malaga,1,2,A,0,1,A,1.9,3.25,3.5,1.8,3.3,4.1,2,3.25,3.65,1.85,3.1,3.6,1.83,3.2,3.75,1.91,3.25,3.75,1.9,3.1,3.6
SP1,19/09/2004,Numancia,Getafe,1,0,H,1,0,H,1.9,3.25,3.5,1.9,3.25,3.75,2,3.25,3.7,2,3,3.3,1.8,3.25,3.75,2,3.25,3.4,1.95,3.1,3.5
SP1,19/09/2004,Santander,Villarreal,1,1,D,0,0,D,2.3,3.2,2.7,2.45,3.15,2.65,2.5,3.25,2.7,2.5,3,2.5,2.5,3.2,2.5,2.5,3.1,2.62,2.37,3.1,2.62
SP1,19/09/2004,Sevilla,Levante,3,0,H,1,0,H,1.72,3.25,4.33,1.7,3.4,4.55,1.75,3.35,4.8,1.75,3.2,4,1.62,3.25,5,1.67,3.4,4.8,1.61,3.3,5
SP1,19/09/2004,Zaragoza,Albacete,4,3,H,1,2,A,1.72,3.25,4.33,1.8,3.3,4.1,1.77,3.3,4.75,1.85,3.1,3.6,1.57,3.5,5,1.73,3.25,4.5,1.7,3.3,4.33
SP1,21/09/2004,Real Madrid,Osasuna,1,0,H,0,0,D,1.44,3.75,6.5,1.4,4,7,1.42,4.25,7,1.4,3.9,6,1.36,4,7,1.44,4.2,6,1.4,3.75,7
SP1,22/09/2004,Albacete,Mallorca,0,0,D,0,0,D,2.25,3.2,2.8,2.4,3.1,2.75,2.35,3.2,2.9,2.1,3,3.1,2.25,3.2,2.75,2.38,3.1,2.8,2.37,3.1,2.62
SP1,22/09/2004,Betis,Ath Bilbao,2,1,H,1,1,D,2.3,3.2,2.7,2.2,3.2,3,2.3,3.2,3,2.2,2.9,3,2.25,3.2,2.75,2.3,3.1,2.9,2.25,3.2,2.75
SP1,22/09/2004,Getafe,Espanol,1,0,H,1,0,H,2.62,3.2,2.37,2.65,3.25,2.35,2.85,3.2,2.4,2.8,2.9,2.3,2.75,3.2,2.25,2.75,3.2,2.38,2.6,3.1,2.4
SP1,22/09/2004,La Coruna,Valencia,1,5,A,0,4,A,2.4,3.2,2.6,2.5,3.1,2.65,2.4,3.2,2.85,2.2,3,2.9,2.38,3,2.75,2.4,3.1,2.8,2.4,3.1,2.6
SP1,22/09/2004,Levante,Ath Madrid,1,0,H,1,0,H,2.62,3.2,2.37,2.8,3.15,2.35,2.75,3.25,2.4,2.8,2.9,2.3,2.6,3.2,2.38,2.75,3.2,2.38,2.6,3.1,2.4
SP1,22/09/2004,Malaga,Numancia,4,1,H,3,0,H,1.8,3.2,4,1.85,3.2,4,1.8,3.3,4.5,1.85,3,3.8,1.73,3.2,4.33,1.83,3.1,4.33,1.8,3.1,4
SP1,22/09/2004,Sociedad,Santander,0,1,A,0,1,A,1.8,3.2,4,1.7,3.4,4.5,1.8,3.3,4.5,1.75,3.1,4.2,1.73,3.2,4.33,1.8,3.2,4.33,1.8,3.3,3.75
SP1,22/09/2004,Villarreal,Sevilla,0,0,D,0,0,D,2.2,3.2,2.87,1.95,3.3,3.5,2.1,3.25,3.4,2,3,3.3,2.1,3.2,3,2.1,3.2,3.25,2.1,3.2,3
SP1,23/09/2004,Barcelona,Zaragoza,4,1,H,1,1,D,1.33,4,8.5,1.3,4.5,9,1.33,4.5,9,1.3,4.2,8,1.33,4,8,1.33,4.33,8.5,1.36,3.75,8
SP1,25/09/2004,Ath Bilbao,Real Madrid,2,1,H,2,0,H,3,3.25,2.3,3.2,3.2,2.1,3.1,3.2,2.25,2.7,3,2.3,2.75,3.2,2.25,3,3.2,2.2,2.75,3.2,2.25
SP1,25/09/2004,Ath Madrid,Villarreal,1,0,H,1,0,H,1.8,3.25,4,1.75,3.35,4.3,1.87,3.25,4.15,1.85,3.1,3.6,1.67,3.25,4.5,1.8,3.2,4.33,1.8,3.1,4
SP1,25/09/2004,La Coruna,Betis,1,1,D,0,0,D,1.66,3.4,4.5,1.55,3.55,5.7,1.67,3.4,5.25,1.65,3.3,4.4,1.62,3.25,5,1.62,3.4,5.5,1.66,3.3,4.5
SP1,26/09/2004,Espanol,Malaga,1,0,H,0,0,D,1.9,3.25,3.5,1.8,3.3,4.1,1.85,3.25,4.2,1.9,3.1,3.5,1.73,3.2,4.33,1.91,3.2,3.8,1.8,3.1,4
SP1,26/09/2004,Mallorca,Barcelona,1,3,A,0,3,A,4.33,3.25,1.72,4.1,3.3,1.8,4.75,3.4,1.73,4,3.2,1.75,5,3.5,1.57,4.33,3.4,1.73,4.33,3.2,1.72
SP1,26/09/2004,Numancia,Albacete,0,0,D,0,0,D,2,3.25,3.25,1.9,3.25,3.75,2.1,3.1,3.55,2.1,3,3.1,1.91,3.2,3.5,2.1,3.2,3.25,1.9,3.2,3.5
SP1,26/09/2004,Osasuna,Getafe,2,1,H,2,1,H,1.66,3.4,4.5,1.6,3.5,5.2,1.65,3.3,5.8,1.65,3.3,4.4,1.53,3.5,5.5,1.62,3.4,5.5,1.61,3.3,5
SP1,26/09/2004,Sevilla,Sociedad,2,1,H,1,1,D,1.8,3.25,4,1.85,3.25,3.95,1.83,3.3,4.3,1.85,3.1,3.6,1.73,3.2,4.33,1.8,3.25,4.2,1.8,3.1,4
SP1,26/09/2004,Valencia,Santander,2,0,H,2,0,H,1.28,4.5,8.5,1.3,4.7,8.25,1.35,4.5,8.5,1.3,4.2,8,1.3,4,9,1.3,4.5,9,1.36,3.75,8
SP1,26/09/2004,Zaragoza,Levante,4,3,H,1,2,A,1.72,3.25,4.33,1.75,3.35,4.3,1.75,3.4,4.65,1.85,3.1,3.6,1.62,3.25,5,1.73,3.4,4.33,1.7,3.2,4.5
SP1,02/10/2004,Betis,Valencia,1,1,D,1,1,D,3.4,3.25,2.1,3.4,3.25,2,3.5,3.25,2.05,3.2,3.1,2,3.2,3.2,2,3.4,3.25,2,3.1,3.1,2.1
SP1,02/10/2004,Sociedad,Ath Madrid,1,0,H,1,0,H,2.5,3.2,2.75,2.4,3.2,2.7,2.5,3.2,2.7,2.3,2.9,2.8,2.2,3.25,2.75,2.6,3,2.6,2.4,3.1,2.6
SP1,03/10/2004,Albacete,Espanol,1,0,H,0,0,D,2.4,3.2,2.6,2.5,3.15,2.6,2.6,3.15,2.65,2.4,3,2.6,2.6,3.2,2.38,2.6,3,2.6,2.5,3.1,2.5
SP1,03/10/2004,Barcelona,Numancia,1,0,H,0,0,D,1.2,5,12,1.15,6.25,14,1.2,5.75,14,1.2,5,10,1.2,5,11,1.17,6,13,1.2,5,11
SP1,03/10/2004,Getafe,Ath Bilbao,3,1,H,1,0,H,2.4,3.2,2.6,2.75,3.2,2.35,2.7,3.15,2.55,2.5,3,2.5,2.6,3.2,2.38,2.75,3.2,2.38,2.5,3.1,2.5
SP1,03/10/2004,Levante,Mallorca,2,0,H,2,0,H,2,3.25,3.25,2,3.25,3.4,2.05,3.25,3.5,1.9,3.1,3.5,1.91,3.2,3.5,2.1,3.2,3.2,2.05,3.1,3.2
SP1,03/10/2004,Malaga,Osasuna,2,0,H,1,0,H,1.9,3.25,3.5,2.05,3.25,3.25,2.2,3.2,3.2,2.1,3,3.1,2.1,3.2,3,2.1,3.2,3.2,2.1,3.2,3
SP1,03/10/2004,Real Madrid,La Coruna,0,1,A,0,1,A,1.61,3.4,6,1.5,3.6,6.25,1.57,3.55,6.25,1.55,3.5,4.8,1.57,3.5,5,1.57,3.6,5.5,1.53,3.5,5.5
SP1,03/10/2004,Santander,Sevilla,0,0,D,0,0,D,2.4,3.2,2.6,2.4,3.2,2.7,2.55,3.15,2.7,2.4,2.9,2.7,2.38,3.2,2.6,2.5,3.2,2.6,2.4,3.1,2.6
SP1,03/10/2004,Villarreal,Zaragoza,2,0,H,1,0,H,2.1,3.25,3,1.9,3.25,3.75,2.05,3.25,3.5,2,3,3.3,2.1,3.2,3,2.05,3.2,3.3,2,3.1,3.3
SP1,16/10/2004,Betis,Real Madrid,1,1,D,1,0,H,3.5,3.2,2.1,3.15,3.25,2.1,3.2,3.2,2.2,3.1,3,2.1,2.8,3.2,2.2,3.2,3.25,2.1,3,3.1,2.15
SP1,16/10/2004,Espanol,Barcelona,0,1,A,0,1,A,4.5,3.25,1.83,3.95,3.4,1.8,4.35,3.35,1.82,4.2,3.1,1.75,4,3.2,1.8,4.33,3.4,1.75,4.33,3.2,1.72
SP1,16/10/2004,La Coruna,Getafe,2,1,H,1,0,H,1.4,3.75,7.5,1.3,4.5,9,1.4,4,8.6,1.35,4,7,1.44,3.6,6.5,1.4,4,7.5,1.4,3.75,7
SP1,17/10/2004,Ath Bilbao,Malaga,1,0,H,1,0,H,1.8,3.25,4,1.85,3.2,4,1.85,3.3,4.25,1.8,3.1,3.8,1.83,3.2,3.75,1.85,3.25,4,1.8,3.1,4
SP1,17/10/2004,Ath Madrid,Santander,1,0,H,1,0,H,1.57,3.4,5.5,1.45,3.75,7,1.6,3.5,6,1.45,3.8,5.4,1.62,3.25,5,1.53,3.6,6,1.57,3.3,5.5
SP1,17/10/2004,Mallorca,Villarreal,1,1,D,1,1,D,2.37,3.2,2.62,2.45,3.1,2.7,2.55,3.1,2.75,2.5,3,2.5,2.38,3,2.75,2.38,3.2,2.75,2.3,3.1,2.75
SP1,17/10/2004,Numancia,Levante,1,3,A,0,1,A,2.2,3,3.1,2.25,3.1,3,2.3,3.1,3.1,2.3,2.8,2.9,2.2,3.2,2.8,2.25,3.1,3,2.15,3.1,3
SP1,17/10/2004,Osasuna,Albacete,3,2,H,2,1,H,1.72,3.25,4.33,1.7,3.3,4.75,1.75,3.35,4.75,1.7,3.2,4.2,1.67,3.25,4.5,1.73,3.4,4.5,1.7,3.2,4.5
SP1,17/10/2004,Valencia,Sevilla,1,2,A,0,0,D,1.53,3.5,7,1.5,3.55,6.5,1.53,3.7,6.5,1.45,3.8,5.4,1.57,3.25,5.5,1.53,3.6,6,1.5,3.4,6
SP1,17/10/2004,Zaragoza,Sociedad,2,1,H,1,1,D,1.83,3.25,3.75,1.95,3.25,3.5,1.9,3.3,4,1.9,3.1,3.5,1.73,3.2,4.33,1.91,3.25,3.75,1.9,3.1,3.6
SP1,23/10/2004,Malaga,La Coruna,1,1,D,1,0,H,2.4,3.2,2.6,2.55,3.15,2.55,2.5,3.2,2.75,2.5,3,2.5,2.4,3.1,2.6,2.4,3.2,2.7,2.5,3.1,2.5
SP1,23/10/2004,Real Madrid,Valencia,1,0,H,1,0,H,2,3.25,3.5,1.95,3.25,3.55,2,3.25,3.7,1.85,3.1,3.6,1.91,3.2,3.5,2,3.2,3.5,1.9,3.25,3.4
SP1,24/10/2004,Albacete,Ath Bilbao,1,0,H,1,0,H,2.37,3.2,2.62,2.2,3.2,3,2.4,3.1,2.95,2.3,2.9,2.8,2.38,3,2.75,2.4,3.1,2.8,2.37,3.1,2.62
SP1,24/10/2004,Barcelona,Osasuna,3,0,H,2,0,H,1.33,4.5,9,1.3,4.7,8.25,1.3,4.8,10,1.35,4,7,1.3,4,9,1.33,4.5,8,1.33,4,8
SP1,24/10/2004,Getafe,Betis,0,2,A,0,0,D,2.25,3.2,2.8,2.1,3.2,3.2,2.25,3.2,3.1,2.3,2.9,2.8,2.2,3.2,2.8,2.3,3.2,2.88,2.25,3.1,2.8
SP1,24/10/2004,Levante,Espanol,0,2,A,0,0,D,2,3.2,3.3,2,3.25,3.4,2.1,3.25,3.4,2,3,3.3,1.91,3.2,3.5,2,3.25,3.4,2.15,3.1,3
SP1,24/10/2004,Santander,Zaragoza,1,0,H,1,0,H,2.25,3.2,2.8,2.3,3.2,2.8,2.35,3.2,2.9,2.3,3,2.7,2.38,3,2.75,2.38,3.1,2.8,2.2,3.1,2.87
SP1,24/10/2004,Sevilla,Ath Madrid,2,1,H,1,0,H,1.9,3.25,3.5,1.9,3.25,3.75,1.95,3.35,3.75,1.85,3.1,3.6,1.8,3.2,4,1.91,3.25,3.75,2,3.1,3.3
SP1,24/10/2004,Sociedad,Mallorca,2,1,H,1,0,H,1.8,3.25,4,1.9,3.25,3.75,1.83,3.25,4.5,1.8,3.1,3.8,1.83,3.2,3.75,1.85,3.25,4,1.83,3.2,3.75
SP1,24/10/2004,Villarreal,Numancia,4,0,H,1,0,H,1.66,3.4,4.5,1.7,3.4,4.55,1.67,3.5,5.25,1.65,3.2,4.6,1.62,3.25,5,1.57,3.4,6,1.66,3.3,4.5
SP1,30/10/2004,Ath Bilbao,Barcelona,1,1,D,1,1,D,4,3.25,1.9,4,3.2,1.85,4,3.3,1.9,3.5,3.1,1.9,4,3.2,1.8,3.75,3.25,1.91,3.6,3.1,1.9
SP1,30/10/2004,Valencia,Ath Madrid,1,1,D,0,0,D,1.8,3.1,5,1.7,3.4,4.55,1.75,3.3,4.85,1.7,3.2,4.2,1.67,3.2,5,1.73,3.4,4.5,1.66,3.3,4.5
SP1,31/10/2004,Betis,Malaga,1,1,D,1,1,D,1.83,3.25,3.75,1.85,3.25,3.95,1.95,3.25,3.85,1.85,3.1,3.6,1.8,3.2,4,1.91,3.2,3.8,1.9,3,3.75
SP1,31/10/2004,Espanol,Villarreal,0,0,D,0,0,D,2,3.25,3.25,2,3.25,3.4,2.1,3.25,3.4,2,3.1,3.2,1.83,3,4,2.1,3.2,3.25,1.9,3.1,3.6
SP1,31/10/2004,La Coruna,Albacete,0,0,D,0,0,D,1.44,3.75,6.5,1.4,4,7.25,1.47,3.75,7.5,1.45,3.8,5.4,1.4,3.75,7,1.44,3.75,7,1.44,3.6,6.5
SP1,31/10/2004,Mallorca,Santander,1,2,A,0,1,A,2,3.25,3.25,2,3.25,3.4,2.1,3.2,3.4,2.1,3,3.1,2.1,3.2,3,2.1,3.2,3.25,1.95,3.1,3.5
SP1,31/10/2004,Numancia,Sociedad,0,2,A,0,0,D,2.37,3.2,2.62,2.35,3.2,2.75,2.5,3.2,2.75,2.4,2.9,2.7,2.25,3.2,2.75,2.4,3.2,2.7,2.3,3.1,2.75
SP1,31/10/2004,Osasuna,Levante,0,1,A,0,1,A,1.83,3.25,3.75,1.8,3.3,4.1,1.85,3.3,4.25,1.8,3.1,3.8,1.8,3.25,3.75,1.75,3.3,4.5,1.8,3.25,3.8
SP1,31/10/2004,Real Madrid,Getafe,2,0,H,1,0,H,1.2,5,12,1.2,5.5,11.5,1.2,5.85,13,1.2,5,10,1.2,5,11,1.2,5.5,12,1.16,5.5,12
SP1,31/10/2004,Zaragoza,Sevilla,3,0,H,2,0,H,2.25,3.25,2.75,2,3.25,3.4,2.35,3.25,2.9,2.3,2.9,2.8,2.25,3.2,2.75,2.3,3.2,2.88,2.3,3.1,2.75
SP1,06/11/2004,Albacete,Betis,0,0,D,0,0,D,2.2,3.25,2.8,2.2,3.2,3,2.2,3.3,3.1,2.2,2.9,3,2.2,3,3,2.25,3.25,2.9,2.15,3.2,2.9
SP1,06/11/2004,Barcelona,La Coruna,2,1,H,2,1,H,1.53,3.6,7,1.55,3.5,5.75,1.61,3.45,5.85,1.6,3.4,4.6,1.57,3.25,5.5,1.57,3.6,5.5,1.57,3.3,5.5
SP1,07/11/2004,Ath Madrid,Zaragoza,1,1,D,0,1,A,1.8,3.25,4,1.85,3.25,3.95,1.85,3.3,4.3,1.8,3.1,3.8,1.8,3.2,4,1.83,3.3,4,1.72,3.2,4.33
SP1,07/11/2004,Getafe,Valencia,1,0,H,1,0,H,3.5,3.25,1.9,3.75,3.25,1.9,3.55,3.35,2,3.6,3,1.9,3.2,3.2,2,3.5,3.2,2,3.5,3.2,1.9
